feature,U_style,U_deck,U_gap,cross_deck_profile_corr
emb_13,0.0452,0.1766,-0.1314,0.2438
emb_14,0.0446,0.0913,-0.0467,0.9498
emb_16,0.0392,0.5013,-0.4621,-0.9065
emb_21,0.0369,0.5586,-0.5217,0.1017
emb_15,0.0342,0.6735,-0.6393,-0.9123
emb_22,0.034,0.2586,-0.2246,0.8781
emb_19,0.0319,0.4006,-0.3687,-0.423
emb_4,0.0315,0.8268,-0.7953,-0.5217
emb_12,0.0315,0.5349,-0.5033,-0.5605
emb_2,0.0294,0.8441,-0.8147,0.74
emb_10,0.0292,0.4614,-0.4322,0.6859
emb_9,0.0284,0.0428,-0.0144,0.848
emb_18,0.0283,0.771,-0.7427,-0.6027
emb_6,0.0264,0.3086,-0.2821,0.5629
emb_0,0.0253,0.7149,-0.6896,-0.8898
emb_3,0.0253,0.6454,-0.6201,-0.6293
emb_1,0.0252,0.9073,-0.8821,0.9664
emb_5,0.0246,0.2998,-0.2752,-0.7768
emb_17,0.0244,0.1873,-0.1629,0.0829
emb_20,0.0218,0.2443,-0.2226,-0.2666
emb_23,0.0216,0.1402,-0.1185,0.3902
emb_7,0.0208,0.114,-0.0932,-0.6043
emb_11,0.0205,0.0789,-0.0584,0.2718
emb_8,0.0203,0.5448,-0.5245,0.9041
