feature,U_style,U_deck,U_gap,cross_deck_profile_corr
role_entropy,0.0647,0.3711,-0.3063,0.8523
role_gini,0.0499,0.2863,-0.2364,0.8219
role_frac_5,0.0389,0.0633,-0.0244,0.3093
role_frac_9,0.0388,0.0924,-0.0536,-0.594
role_frac_11,0.0349,0.3261,-0.2912,
role_frac_0,0.0344,0.447,-0.4126,-0.3669
role_frac_10,0.0341,0.3752,-0.3411,
role_frac_3,0.0334,0.3322,-0.2988,-0.9632
role_frac_1,0.0321,0.9247,-0.8926,0.1084
role_frac_6,0.0273,0.1417,-0.1144,0.5698
role_frac_2,0.0199,0.4796,-0.4597,
role_frac_8,0.0092,0.1795,-0.1703,0.0577
role_frac_7,0.0088,0.8329,-0.824,-0.8562
role_frac_4,0.0033,0.0735,-0.0703,
unassigned_frac,0.0019,0.0,0.0019,
