game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,won,n_turns_total,f_n_turns,f_actions_per_turn,f_cards_per_turn,f_cards_drawn_per_turn,f_avg_card_cost,f_max_card_cost,f_std_card_cost,f_minion_frac,f_spell_frac,f_weapon_frac,f_avg_minion_atk,f_avg_minion_health,f_first_minion_turn,f_attacks_per_turn,f_face_attack_ratio,f_hero_power_per_turn,f_hero_power_frac,f_targeted_play_frac,f_target_face_frac,f_face_dmg_per_turn,f_minion_dmg_per_turn,f_face_dmg_share,f_dmg_taken_per_turn,f_heal_per_turn,f_armor_gain_per_turn,f_board_size_mean,f_board_size_max,f_opp_minions_killed_per_turn,f_own_minions_lost_per_turn,f_trade_ratio,f_mana_spent_per_turn,f_mana_floated_per_turn,f_mana_efficiency,f_hand_size_mean,f_deck_left_end
game_001_aggro-AggroPirateWarrior_vs_aggro-AggroPirateWarrior.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,AggroPirateWarrior,1,0,10,5,2.0,0.8,1.8,4.0,5.0,0.7071067811865476,0.75,0.0,0.25,3.3333333333333335,3.3333333333333335,3.0,1.2,0.8333333333333334,0.0,0.0,0.0,,2.6,0.8,0.7647058823529411,6.4,0.0,0.0,1.4,3,0.2,0.4,0.3333333333333333,2.4,0.6,0.8,4.6,21
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeBuffPaladin.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeBuffPaladin,2,0,15,7,3.857142857142857,1.5714285714285714,1.0,2.1818181818181817,5.0,1.465865045145191,0.6363636363636364,0.18181818181818182,0.18181818181818182,2.0,2.4285714285714284,1.0,2.142857142857143,0.5333333333333333,0.14285714285714285,0.037037037037037035,0.0,,2.5714285714285716,2.4285714285714284,0.5142857142857142,4.285714285714286,0.0,0.2857142857142857,2.142857142857143,3,0.42857142857142855,0.8571428571428571,0.3333333333333333,3.2857142857142856,0.8571428571428571,0.7931034482758621,3.4285714285714284,18
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeJadeShaman.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeJadeShaman,2,1,10,5,4.2,1.6,1.0,2.125,5.0,1.6153559979150107,0.625,0.125,0.25,1.8,1.8,1.0,2.6,1.0,0.0,0.0,0.0,,6.0,0.0,1.0,5.2,0.0,0.0,4.2,6,0.2,0.2,0.5,2.8,0.4,0.875,2.8,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeSecretHunter.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeSecretHunter,1,1,11,6,2.3333333333333335,0.6666666666666666,1.6666666666666667,3.0,4.0,1.224744871391589,1.0,0.0,0.0,3.0,2.5,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,,5.166666666666667,0.0,1.0,3.1666666666666665,0.0,0.0,2.5,5,0.0,0.0,,2.0,1.5,0.5714285714285714,4.666666666666667,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MiraclePirateRogue.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MiraclePirateRogue,1,1,11,6,2.8333333333333335,1.0,2.0,2.5,5.0,1.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0,2.5,1.0,1.8333333333333333,1.0,0.0,0.0,0.0,,5.0,0.0,1.0,4.0,0.0,0.0,2.8333333333333335,5,0.0,0.3333333333333333,0.0,2.5,1.0,0.7142857142857143,2.5,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MurlocDruid.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MurlocDruid,1,1,11,6,3.5,1.1666666666666667,2.0,2.142857142857143,4.0,1.124858267715973,1.0,0.0,0.0,2.0,2.2857142857142856,1.0,2.3333333333333335,1.0,0.0,0.0,0.0,,5.0,0.0,1.0,2.3333333333333335,0.0,0.0,3.6666666666666665,6,0.0,0.16666666666666666,0.0,2.5,1.0,0.7142857142857143,2.5,21
game_001_aggro-AggroPirateWarrior_vs_aggro-RenoKazakusDragonPriest.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,RenoKazakusDragonPriest,1,1,11,6,3.8333333333333335,0.8333333333333334,2.0,3.0,4.0,1.0954451150103321,0.8,0.0,0.2,2.75,2.5,1.0,3.0,1.0,0.0,0.0,0.0,,6.333333333333333,0.0,1.0,0.5,0.0,0.0,3.1666666666666665,4,0.0,0.16666666666666666,0.0,2.0,1.5,0.5714285714285714,3.5,20
game_001_aggro-AggroPirateWarrior_vs_aggro-RenoKazakusMage.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,RenoKazakusMage,1,1,11,6,2.6666666666666665,0.8333333333333334,1.6666666666666667,2.6,4.0,1.3564659966250538,1.0,0.0,0.0,3.2,2.4,2.0,1.8333333333333333,1.0,0.0,0.0,0.0,,5.833333333333333,0.0,1.0,2.1666666666666665,0.3333333333333333,0.0,3.5,6,0.0,0.0,,2.1666666666666665,1.3333333333333333,0.6190476190476191,3.8333333333333335,20
game_001_aggro-AggroPirateWarrior_vs_aggro-ZooDiscardWarlock.log,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,ZooDiscardWarlock,2,1,10,5,3.8,1.2,1.0,1.8333333333333333,4.0,1.3437096247164249,0.8333333333333334,0.16666666666666666,0.0,2.6,2.6,1.0,2.6,0.8461538461538461,0.0,0.0,0.0,,6.2,1.0,0.8611111111111112,3.0,0.0,0.0,4.0,5,0.6,0.4,0.6,2.2,1.0,0.6875,3.2,20
game_001_aggro-AggroPirateWarrior_vs_control-AggroPirateWarrior.log,aggro,AggroPirateWarrior,aggro,WARRIOR,control,AggroPirateWarrior,2,0,13,6,2.8333333333333335,1.6666666666666667,1.0,2.3,5.0,1.5524174696260025,0.5,0.4,0.1,2.8,2.6,3.0,1.1666666666666667,1.0,0.0,0.0,0.0,,3.5,0.0,1.0,5.0,0.0,0.0,1.0,2,0.16666666666666666,1.0,0.14285714285714285,3.3333333333333335,0.3333333333333333,0.9090909090909091,2.5,19
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeBuffPaladin.log,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeBuffPaladin,1,1,15,8,3.25,1.25,1.625,2.6,5.0,1.3564659966250538,0.8,0.1,0.1,2.25,2.375,1.0,1.875,0.7333333333333333,0.125,0.038461538461538464,0.0,,3.75,2.0,0.6521739130434783,1.375,0.0,0.25,2.0,4,0.75,0.875,0.46153846153846156,3.0,1.5,0.6666666666666666,2.0,18
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeJadeShaman.log,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeJadeShaman,2,0,17,8,2.625,1.5,1.0,2.6666666666666665,5.0,1.3743685418725535,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.875,3.0,1.0,1.125,0.6666666666666666,0.0,0.0,0.0,,2.5,1.5,0.625,3.875,0.0,0.0,1.375,3,0.375,1.0,0.2727272727272727,4.0,0.625,0.8648648648648649,3.125,17
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeSecretHunter.log,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeSecretHunter,2,1,12,6,3.3333333333333335,1.1666666666666667,1.0,2.2857142857142856,4.0,1.4846149779161806,0.8571428571428571,0.14285714285714285,0.0,2.6666666666666665,2.5,1.0,2.1666666666666665,0.8461538461538461,0.0,0.0,0.0,,5.5,1.3333333333333333,0.8048780487804879,2.3333333333333335,0.0,0.0,3.1666666666666665,5,0.3333333333333333,0.3333333333333333,0.5,2.6666666666666665,1.0,0.7272727272727273,4.0,20
