game_file,style,deck,deck_family,hero_class,opp_style,opp_deck,start_player,n_turns_total,won,ch_face_pref,ch_attack_engage,ch_heropower_pref,ch_play_pref,ch_pass_with_play,ch_minion_play_pref,ch_hp_over_play,ch_hero_attack_face_pref,ch_cost_pct,ch_max_cost_pref,ch_mana_commit,ch_target_atk_pct,ch_target_hp_pct,ch_n_options,ch_face_dilemma_rate,raw_n_turns,raw_n_decisions,raw_face_dmg_per_turn,raw_dmg_taken_per_turn,raw_heal_per_turn,raw_face_attack_ratio,raw_attacks_per_turn,raw_cards_per_turn,raw_avg_card_cost,raw_max_card_cost,raw_minion_frac,raw_mana_spent,raw_mana_spent_per_turn,raw_mana_floated_per_turn,raw_hero_power_per_turn,raw_board_size_mean,raw_opp_minions_killed_per_turn,raw_my_minions_lost_per_turn,raw_first_minion_turn,raw_deck_count_end
game_001_aggro-AggroPirateWarrior_vs_aggro-AggroPirateWarrior.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,AggroPirateWarrior,2,9,0,0.9166666666666666,0.8571428571428571,0.0,1.0,0.0,0.5,0.0,0.3333333333333333,0.5576923076923077,0.8333333333333334,0.75,0.5,0.5,9.045454545454545,0.5454545454545454,4,22,6.0,0.0,0.0,0.9166666666666666,3.0,1.5,1.8333333333333333,4.0,0.6666666666666666,11.0,2.75,0.0,0.0,2.590909090909091,0.25,0.25,4.0,21
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeBuffPaladin.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeBuffPaladin,1,12,0,0.8235294117647058,0.8095238095238095,0.0,0.8333333333333334,0.0,0.6666666666666666,0.0,0.375,0.5183823529411765,0.5,0.8166666666666667,0.5,0.5,9.285714285714286,0.6071428571428571,6,28,4.666666666666667,0.0,0.0,0.8823529411764706,2.8333333333333335,0.8333333333333334,3.0,4.0,1.0,15.0,2.5,1.0,0.0,2.642857142857143,0.16666666666666666,0.16666666666666666,1.0,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeJadeShaman.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeJadeShaman,1,13,1,0.7857142857142857,0.8,0.0,0.5,0.0,0.2857142857142857,0.0,0.42857142857142855,0.4898809523809524,0.6666666666666666,0.7722222222222221,0.5,0.5,7.655172413793103,0.4827586206896552,7,29,4.285714285714286,0.0,0.0,0.75,2.2857142857142856,1.0,2.4285714285714284,4.0,0.8571428571428571,17.0,2.4285714285714284,0.5714285714285714,0.0,1.7241379310344827,0.2857142857142857,0.5714285714285714,1.0,19
game_001_aggro-AggroPirateWarrior_vs_aggro-MidrangeSecretHunter.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MidrangeSecretHunter,2,10,1,0.9230769230769231,0.9444444444444444,0.0,0.3181818181818182,0.0,0.3333333333333333,0.0,0.15384615384615385,0.5333333333333333,0.8,0.8833333333333332,,,15.464285714285714,0.4642857142857143,5,28,6.2,0.0,0.0,1.0,3.4,1.4,1.4285714285714286,3.0,0.7142857142857143,10.0,2.0,0.2,0.0,3.4642857142857144,0.0,0.0,2.0,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MiraclePirateRogue.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MiraclePirateRogue,1,11,1,0.9090909090909091,0.9090909090909091,0.0,0.36363636363636365,0.0,,0.0,,0.71875,1.0,0.95,,,18.526315789473685,0.5789473684210527,6,19,5.0,0.0,0.0,1.0,1.6666666666666667,0.6666666666666666,3.0,4.0,1.0,12.0,2.0,0.5,0.0,2.789473684210526,0.0,0.0,5.0,20
game_001_aggro-AggroPirateWarrior_vs_aggro-MurlocDruid.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,MurlocDruid,1,13,1,0.8181818181818182,0.8181818181818182,0.0,0.46153846153846156,0.0,0.0,0.0,1.0,0.5813131313131313,0.6666666666666666,0.8333333333333333,,,11.714285714285714,0.5238095238095238,7,21,4.857142857142857,0.0,0.0,1.0,1.2857142857142858,0.8571428571428571,2.8333333333333335,5.0,0.6666666666666666,17.0,2.4285714285714284,0.5714285714285714,0.0,1.5714285714285714,0.0,0.0,7.0,19
game_001_aggro-AggroPirateWarrior_vs_aggro-RenoKazakusDragonPriest.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,RenoKazakusDragonPriest,2,10,1,0.8888888888888888,0.8571428571428571,0.0,0.5,0.0,0.0,0.0,0.25,0.5535714285714286,0.7142857142857143,0.75,,,12.08695652173913,0.391304347826087,5,23,7.8,0.0,0.0,1.0,2.4,1.4,1.5714285714285714,3.0,0.7142857142857143,11.0,2.2,0.0,0.0,3.608695652173913,0.0,0.0,4.0,20
game_001_aggro-AggroPirateWarrior_vs_aggro-RenoKazakusMage.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,RenoKazakusMage,1,11,1,,0.8235294117647058,0.0,0.6,0.0,0.375,0.0,,0.6693681318681318,0.75,0.775,,,6.44,0.0,6,25,5.5,0.0,0.0,1.0,2.3333333333333335,1.0,2.1666666666666665,4.0,0.6666666666666666,13.0,2.1666666666666665,0.3333333333333333,0.0,2.92,0.0,0.0,1.0,20
game_001_aggro-AggroPirateWarrior_vs_aggro-ZooDiscardWarlock.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,aggro,ZooDiscardWarlock,2,12,1,0.8181818181818182,0.8666666666666667,0.0,0.4666666666666667,0.0,0.5,0.0,0.6666666666666666,0.5833333333333334,1.0,0.8833333333333333,0.5,0.5,8.92,0.44,6,25,5.0,0.0,0.0,0.8461538461538461,2.1666666666666665,1.1666666666666667,2.0,4.0,0.7142857142857143,14.0,2.3333333333333335,0.3333333333333333,0.0,2.2,0.16666666666666666,0.3333333333333333,2.0,20
game_001_aggro-AggroPirateWarrior_vs_control-AggroPirateWarrior.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,AggroPirateWarrior,2,13,0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.548611111111111,0.8333333333333334,0.7944444444444444,,,3.5294117647058822,0.1111111111111111,6,18,1.3333333333333333,0.0,0.0,1.0,0.3333333333333333,1.5,2.2222222222222223,4.0,0.7777777777777778,20.0,3.3333333333333335,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,4.0,19
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeBuffPaladin.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeBuffPaladin,1,15,1,0.7692307692307693,0.75,0.0,0.6875,0.0,0.25,0.0,0.6666666666666666,0.5277777777777778,0.7777777777777778,0.6677248677248678,,,5.466666666666667,0.43333333333333335,8,30,4.0,0.375,0.0,0.8333333333333334,1.5,1.375,2.0,5.0,0.5454545454545454,22.0,2.75,1.0,0.0,0.7666666666666667,0.25,0.125,1.0,18
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeJadeShaman.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeJadeShaman,2,11,0,0.75,0.75,0.0,1.0,0.0,0.0,0.0,0.625,0.7805555555555556,1.0,1.0,,,4.705882352941177,0.47058823529411764,5,17,4.0,0.0,0.0,1.0,1.2,1.2,2.5,5.0,0.16666666666666666,15.0,3.0,0.2,0.0,0.17647058823529413,0.0,0.0,8.0,21
game_001_aggro-AggroPirateWarrior_vs_control-MidrangeSecretHunter.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MidrangeSecretHunter,2,12,1,0.8181818181818182,0.7857142857142857,0.0,0.7272727272727273,0.0,0.0,0.0,1.0,0.6316964285714286,0.875,0.7857142857142857,0.5,0.5,5.666666666666667,0.4583333333333333,6,24,5.0,0.0,0.0,0.9090909090909091,1.8333333333333333,1.3333333333333333,2.0,5.0,0.5,16.0,2.6666666666666665,0.0,0.0,1.3333333333333333,0.16666666666666666,0.16666666666666666,4.0,20
game_001_aggro-AggroPirateWarrior_vs_control-MiraclePirateRogue.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MiraclePirateRogue,1,13,1,0.8571428571428571,0.8333333333333334,0.0,0.7272727272727273,0.0,0.42857142857142855,0.0,1.0,0.6946428571428571,1.0,0.8197278911564625,,,4.416666666666667,0.2916666666666667,7,24,4.571428571428571,0.0,0.0,1.0,1.4285714285714286,1.1428571428571428,2.875,5.0,0.625,23.0,3.2857142857142856,0.7142857142857143,0.0,0.6666666666666666,0.0,0.0,1.0,19
game_001_aggro-AggroPirateWarrior_vs_control-MurlocDruid.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,MurlocDruid,1,13,1,0.7058823529411765,0.7368421052631579,0.0,0.5,0.05555555555555555,0.6666666666666666,0.0,0.42857142857142855,0.5083333333333334,0.7142857142857143,0.6442176870748301,0.5,0.5,5.655172413793103,0.5862068965517241,7,29,4.0,0.0,0.0,0.8571428571428571,2.0,1.2857142857142858,2.2222222222222223,4.0,0.7777777777777778,20.0,2.857142857142857,0.2857142857142857,0.0,1.3103448275862069,0.14285714285714285,0.2857142857142857,1.0,19
game_001_aggro-AggroPirateWarrior_vs_control-RenoKazakusDragonPriest.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,RenoKazakusDragonPriest,1,11,1,0.5714285714285714,0.65,0.23529411764705882,0.5454545454545454,0.0,0.16666666666666666,0.0,0.6,0.30714285714285716,0.25,0.5249999999999999,,,6.392857142857143,0.4827586206896552,6,29,5.833333333333333,0.0,0.0,1.0,2.1666666666666665,1.0,2.1666666666666665,4.0,0.5,13.0,2.1666666666666665,0.0,0.6666666666666666,1.8620689655172413,0.0,0.0,3.0,20
game_001_aggro-AggroPirateWarrior_vs_control-RenoKazakusMage.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,RenoKazakusMage,2,15,0,0.5,0.6,0.0,0.7857142857142857,0.07142857142857142,0.5,0.0,0.5714285714285714,0.640625,0.875,0.6577380952380952,0.5,0.5,4.703703703703703,0.42857142857142855,7,28,2.857142857142857,0.0,0.0,0.6666666666666666,1.2857142857142858,1.5714285714285714,2.090909090909091,5.0,0.7272727272727273,23.0,3.2857142857142856,0.8571428571428571,0.0,1.3928571428571428,0.2857142857142857,0.0,2.0,18
game_001_aggro-AggroPirateWarrior_vs_control-ZooDiscardWarlock.jsonl,aggro,AggroPirateWarrior,aggro,WARRIOR,control,ZooDiscardWarlock,2,11,0,0.7,0.75,0.0,0.8181818181818182,0.0,0.3333333333333333,0.0,0.5,0.5040178571428571,0.625,0.8770833333333332,0.5,0.5,6.130434782608695,0.43478260869565216,5,23,3.6,0.2,0.0,0.7777777777777778,1.8,1.8,1.5555555555555556,3.0,0.6666666666666666,14.0,2.8,0.4,0.0,1.7826086956521738,0.2,0.2,2.0,20
