features,deck,within_acc
raw,AggroPirateWarrior,0.47488888888888897
raw,MidrangeBuffPaladin,0.47777777777777775
raw,MidrangeJadeShaman,0.5943529847979236
raw,MidrangeSecretHunter,0.5066666666666667
raw,MiraclePirateRogue,0.526888888888889
raw,MurlocDruid,0.5447274997460678
raw,RenoKazakusDragonPriest,0.5133333333333334
raw,RenoKazakusMage,0.50900160672352
raw,ZooDiscardWarlock,0.5053333333333333
choice,AggroPirateWarrior,0.5086666666666666
choice,MidrangeBuffPaladin,0.5626666666666666
choice,MidrangeJadeShaman,0.5992436040044493
choice,MidrangeSecretHunter,0.5331111111111111
choice,MiraclePirateRogue,0.5348888888888889
choice,MurlocDruid,0.5413862470302315
choice,RenoKazakusDragonPriest,0.5439999999999999
choice,RenoKazakusMage,0.5156685205784204
choice,ZooDiscardWarlock,0.5326666666666666
