N,raw_choice_ari_mean,raw_choice_ari_std,cardseq_ari_mean,cardseq_ari_std
1,0.1521897047978034,0.03233358308080892,0.04728855002807844,0.02088819385227784
2,0.2441385820401537,0.061684919090490876,0.07041296485382714,0.038676732149541995
3,0.30362290144914594,0.0788000114091578,0.1001803428217129,0.045839222859992514
5,0.3754532271806004,0.08068155386135104,0.1442620094650889,0.05815169904467098
8,0.4993226087631773,0.06989683319805635,0.2002394250156966,0.06449959539903805
10,0.5681644821491318,0.059057557814495176,0.21800799534242798,0.07428035367897995
15,0.6866909127300346,0.07988965854822715,0.2878934017564601,0.07617867273759853
20,0.7726696288705589,0.08548639965262415,0.33628486111970685,0.08831293122579725
25,0.8260164864134992,0.07148527453317298,0.3584603878732129,0.10150028644125392
35,0.9173503423565678,0.06799448570649586,0.4446326047372162,0.09923358395404056
50,0.9620399786069438,0.0279069764866752,0.49857942785026055,0.1157145148217777
70,0.9868102567065863,0.015333452580591721,0.5726135536687759,0.12148182545081508
90,0.9941012887550418,0.009070455563721514,0.6520952175675597,0.11028606067288983
100,0.9974071729754177,0.0034332679214746633,0.6916570961418487,0.11097166074395558
120,0.9996288847565776,0.0010496724209026187,0.7154685398341385,0.11423390476767341
