protocol,features,pool_N,accuracy,ARI_direct,ARI_lda
LOAO,raw,1,0.4062021221613739,0.060940702547624265,0.09875110384087042
LOAO,raw,10,0.5170225257543043,0.23061151617466694,0.2913167088196944
LOAO,raw+deckz (OLD),1,0.45530249380251486,0.06353954477068578,0.11103452442267803
LOAO,raw+deckz (OLD),10,0.7598811966208117,0.3312906040762812,0.5242813448324671
LOAO,choice (NEW),1,0.4533207380822245,0.11464210526339855,0.1536295534872157
LOAO,choice (NEW),10,0.5269910696686985,0.24664448831351132,0.27586379861206095
LOAO,choice+deckz,1,0.46473069247489385,0.10710942643407567,0.15699354372516683
LOAO,choice+deckz,10,0.6165130474723556,0.292844856140958,0.3412578536582053
LOAO,raw+choice,1,0.5087457968141376,0.08686197499497705,0.19059384990409844
LOAO,raw+choice,10,0.6066102034804678,0.2777853250860688,0.3670181944279115
LOAO,raw+choice+deckz,1,0.5324638929870239,0.10371211733928117,0.22289056990578202
LOAO,raw+choice+deckz,10,0.81150468053264,0.38190512095924795,0.6086187894963605
LODO,raw,1,0.4113763932903846,0.07656504111878115,0.12359302500572165
LODO,raw,10,0.5185974687037233,0.37213905783653706,0.518163386408161
LODO,raw+deckz (OLD),1,0.45775412193605647,0.07656504111878115,0.12803690013003974
LODO,raw+deckz (OLD),10,0.7746161001520133,0.37213905783653706,0.5899108340790593
LODO,choice (NEW),1,0.4702691532569588,0.14270735308759808,0.18757173584510523
LODO,choice (NEW),10,0.5761452772769587,0.3652242013158389,0.37392299540451124
LODO,choice+deckz,1,0.47224467630463557,0.14270735308759808,0.1779530794879227
LODO,choice+deckz,10,0.6438568413837531,0.3652242013158389,0.3928803777578712
LODO,raw+choice,1,0.5074889182473977,0.13394045931050275,0.23034979928081997
LODO,raw+choice,10,0.5979001764650429,0.45332522582050433,0.5955653380480128
LODO,raw+choice+deckz,1,0.5381617352750806,0.13394045931050275,0.22921151475305582
LODO,raw+choice+deckz,10,0.8203083277359448,0.45332522582050433,0.6541728687777829
