stage,pool,feature_set,N,retrieval,top1,top5,mrr,chance,n_units,seed
baseline,sim-pseudo-user,cardseq,1,full-pool,0.0,0.7,0.2860714285714286,0.0999999999999999,10,
baseline,sim-pseudo-user,cardseq,1,matched-C10,0.0,0.7,,0.1,10,
baseline,sim-pseudo-user,rhythm,1,full-pool,0.2,0.5,0.373015873015873,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,1,matched-C10,0.2,0.5,,0.1,10,
baseline,sim-pseudo-user,role,1,full-pool,0.0,0.7,0.2202380952380952,0.0999999999999999,10,
baseline,sim-pseudo-user,role,1,matched-C10,0.0,0.7,,0.1,10,
baseline,sim-pseudo-user,both,1,full-pool,0.1,0.7,0.318015873015873,0.0999999999999999,10,
baseline,sim-pseudo-user,both,1,matched-C10,0.1,0.7,,0.1,10,
baseline,sim-pseudo-user,cardseq,3,full-pool,0.3,1.0,0.5016666666666667,0.0999999999999999,10,
baseline,sim-pseudo-user,cardseq,3,matched-C10,0.3,1.0,,0.1,10,
baseline,sim-pseudo-user,rhythm,3,full-pool,0.3,0.9,0.5066666666666667,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,3,matched-C10,0.3,0.9,,0.1,10,
baseline,sim-pseudo-user,role,3,full-pool,0.2,1.0,0.4566666666666666,0.0999999999999999,10,
baseline,sim-pseudo-user,role,3,matched-C10,0.2,1.0,,0.1,10,
baseline,sim-pseudo-user,both,3,full-pool,0.3,1.0,0.5183333333333333,0.0999999999999999,10,
baseline,sim-pseudo-user,both,3,matched-C10,0.3,1.0,,0.1,10,
baseline,sim-pseudo-user,cardseq,5,full-pool,0.4,1.0,0.5833333333333333,0.0999999999999999,10,
baseline,sim-pseudo-user,cardseq,5,matched-C10,0.4,1.0,,0.1,10,
baseline,sim-pseudo-user,rhythm,5,full-pool,0.4,1.0,0.6166666666666666,0.0999999999999999,10,
baseline,sim-pseudo-user,rhythm,5,matched-C10,0.4,1.0,,0.1,10,
baseline,sim-pseudo-user,role,5,full-pool,0.3,1.0,0.5650000000000001,0.0999999999999999,10,
baseline,sim-pseudo-user,role,5,matched-C10,0.3,1.0,,0.1,10,
baseline,sim-pseudo-user,both,5,full-pool,0.4,1.0,0.6,0.0999999999999999,10,
baseline,sim-pseudo-user,both,5,matched-C10,0.4,1.0,,0.1,10,
